algorithm,length,ticks_per_second,total_ticks,robots,arena_size,seed,arena_type,maze_width,maze_height,scatter_size,scatter_density,num_agents,reached_count,reached_ratio,mean_time_sec,fastest_time_sec,slowest_time_sec,total_distance,obstacles_count,run_id
pso,1,2,2,4,10.0,42770,scatter,10,10,0.5565223375484455,0.6092394738722664,4,0,0.0,0,0,0,0.06250447117947446,89,266
projet,1,2,2,9,10.0,733,scatter,10,10,0.4028872765437773,0.5509259821495798,9,0,0.0,0,0,0,0.14857200923476335,174,72
flood_fill,1,2,2,3,10.0,30940,scatter,10,10,1.120690272034766,0.300095791876943,3,0,0.0,0,0,0,0.12082875522995278,24,434
pso,1,2,2,6,10.0,70961,scatter,10,10,0.6644536338462701,0.14612757578886792,6,0,0.0,0,0,0,0.07156210137429712,37,33
projet,1,2,2,9,10.0,63868,scatter,10,10,1.5556909536480938,0.5124838850185232,9,0,0.0,0,0,0,0.1684563959789825,12,41
aco,1,2,2,6,10.0,43428,scatter,10,10,0.5398919417288871,0.7701850259309548,6,0,0.0,0,0,0,0.3525308893651038,102,445
projet,1,2,2,3,10.0,29726,scatter,10,10,1.7890914943699292,0.25868893087738865,3,0,0.0,0,0,0,0.02599511340041205,12,127
coverage,1,2,2,4,10.0,21527,scatter,10,10,1.4586297574825773,0.21905577148848795,4,0,0.0,0,0,0,0.026793336502463717,14,403
pso,1,2,2,4,10.0,21032,scatter,10,10,1.7262814142387137,0.062187154985816256,4,0,0.0,0,0,0,0.03931889715279428,6,73
coverage,1,2,2,3,10.0,8051,scatter,10,10,0.9200228969921932,0.10077835868396141,3,0,0.0,0,0,0,0.09199647957301196,16,409
coverage,1,2,2,4,10.0,26473,scatter,10,10,0.9787370584749908,0.5664928721396008,4,0,0.0,0,0,0,0.13116760211350711,33,248
projet,1,2,2,4,10.0,38185,scatter,10,10,1.9829373701147497,0.37453787415636286,4,0,0.0,0,0,0,0.026999921804972276,10,479
flood_fill,1,2,2,6,10.0,86958,scatter,10,10,1.2819103473579163,0.036433424278486684,6,0,0.0,0,0,0,0.3790743189774218,6,168
flood_fill,1,2,2,10,10.0,84392,scatter,10,10,1.8802580333724215,0.1602870916948372,10,0,0.0,0,0,0,0.43811059178884115,9,275
aco,1,2,2,4,10.0,25569,scatter,10,10,1.7875997556006422,0.3926569544335564,4,0,0.0,0,0,0,0.1352609961632289,11,442
aco,1,2,2,1,10.0,69543,scatter,10,10,0.8746740423295285,0.5995342315524418,1,0,0.0,0,0,0,0.0883650822666965,37,309
aco,1,2,2,8,10.0,1795,scatter,10,10,0.6536834163884186,0.46964180263808436,8,0,0.0,0,0,0,0.376697588493559,68,43
coverage,1,2,2,3,10.0,18791,scatter,10,10,1.3099099744482876,0.5667502408182093,3,0,0.0,0,0,0,0.0806901113272256,20,160
aco,1,2,2,5,10.0,72866,scatter,10,10,1.2853143872608972,0.08865402535486575,5,0,0.0,0,0,0,0.26887342273614095,9,94
aco,1,2,2,5,10.0,54892,scatter,10,10,1.4209419580211065,0.018522984214958654,5,0,0.0,0,0,0,0.3432639620033059,5,246
flood_fill,1,2,2,3,10.0,3559,scatter,10,10,0.37009843104513107,0.04122319152262413,3,0,0.0,0,0,0,0.1303129800690292,34,335
coverage,1,2,2,4,10.0,76500,scatter,10,10,1.1494854263422651,0.7459329036542484,4,0,0.0,0,0,0,0.1361783492939342,24,427
pso,1,2,2,2,10.0,3938,scatter,10,10,1.8298431733726008,0.014429962019258937,2,0,0.0,0,0,0,0.03323326738163445,4,490
